Country,Infant mortality
Afghanistan,"163,07"
Albania,"21,52"
Algeria,"31,31"
American Samoa,"9,27"
Andorra,"4,05"
Angola,"191,19"
Antigua and Barbuda,"19,46"
Argentina,"15,18"
Armenia,"23,28"
Aruba,"5,89"
Australia,"4,69"
Austria,"4,66"
Azerbaijan,"81,74"
The Bahamas,"25,21"
Bahrain,"17,27"
Bangladesh,"62,6"
Barbados,"12,5"
Belarus,"13,37"
Belgium,"4,68"
Belize,"25,69"
Benin,"85,85"
Bermuda,"8,53"
Bhutan,"100,44"
Bolivia,"53,11"
Bosnia and Herzegovina,"21,05"
Botswana,"54,58"
Brazil,"29,61"
British Virgin Islands,"18,05"
Brunei,"12,61"
Bulgaria,"20,55"
Burkina Faso,"97,57"
Burundi,"69,29"
Cabo Verde,"47,77"
Cambodia,"71,48"
Cameroon,"68,26"
Canada,"4,75"
Cayman Islands,"8,19"
Central African Republic,"91,91"
Chad,"93,82"
Guernsey,"4,71"
Chile,"8,8"
China,"24,18"
Colombia,"20,97"
Comoros,"74,93"
Democratic Republic of the Congo,"94,69"
Republic of the Congo,"93,86"
Costa Rica,"9,95"
Côte d'Ivoire,"90,83"
Croatia,"6,84"
Cuba,"6,33"
Curacao,"7,5"
Cyprus,"7,18"
Czech Republic,"3,93"
Denmark,"4,56"
Djibouti,"104,13"
Dominica,"14,15"
Dominican Republic,"32,38"
Ecuador,"23,66"
Egypt,"32,59"
El Salvador,"25,1"
Equatorial Guinea,"85,13"
Estonia,"7,87"
Ethiopia,"95,32"
Faroe Islands,"6,24"
Fiji,"12,62"
Finland,"3,57"
France,"4,26"
French Polynesia,"8,44"
Gabon,"53,64"
The Gambia,"72,02"
Georgia,"18,59"
Germany,"4,16"
Ghana,"51,43"
Gibraltar,"5,13"
Greece,"5,53"
Greenland,"15,82"
Grenada,"14,62"
Guam,"6,94"
Guatemala,"35,93"
Guinea,"90,37"
Guinea-Bissau,"107,17"
Guyana,"33,26"
Haiti,"73,45"
Honduras,"29,32"
Hong Kong,"2,97"
Hungary,"8,57"
Iceland,"3,31"
India,"56,29"
Indonesia,"35,6"
Iran,"41,58"
Iraq,"50,25"
Ireland,"5,39"
Isle of Man,"5,93"
Israel,"7,03"
Italy,"5,94"
Jamaica,"12,36"
Japan,"3,26"
Jordan,"17,35"
Kazakhstan,"29,21"
Kenya,"61,47"
Kiribati,"48,52"
North Korea,"24,04"
South Korea,"7,05"
Kosovo,"11,4"
Kuwait,"9,95"
Kyrgyzstan,"35,64"
Laos,"85,22"
Latvia,"9,55"
Lebanon,"24,52"
Lesotho,"84,23"
Liberia,"128,87"
Libya,"24,6"
Liechtenstein,"4,7"
Lithuania,"6,89"
Luxembourg,"4,81"
Macau,"4,39"
Macedonia,"10,09"
Madagascar,"76,83"
Malawi,"103,32"
Malaysia,"17,7"
Maldives,"56,52"
Mali,"116,79"
Malta,"3,89"
Marshall Islands,"29,45"
Mauritania,"70,89"
Mauritius,"15,03"
Mexico,"20,91"
Micronesia,"30,21"
Moldova,"40,42"
Monaco,"5,43"
Mongolia,"53,79"
Montserrat,"7,35"
Morocco,"41,62"
Mozambique,"130,79"
Myanmar,"38,5"
Namibia,"48,98"
Nauru,"9,95"
Nepal,"66,98"
Netherlands,"5,04"
New Caledonia,"7,72"
New Zealand,"5,85"
Nicaragua,"29,11"
Niger,"121,69"
Nigeria,"98,8"
Northern Mariana Islands,"7,11"
Norway,"3,7"
Oman,"19,51"
Pakistan,"72,44"
Palau,"14,84"
Panama,"20,47"
Papua New Guinea,"51,45"
Paraguay,"25,63"
Peru,"31,94"
Philippines,"23,51"
Poland,"8,51"
Portugal,"5,05"
Puerto Rico,"8,24"
Qatar,"18,61"
Romania,"26,43"
Russia,"15,39"
Rwanda,"91,23"
Samoa,"27,71"
San Marino,"5,73"
Sao Tome and Principe,"43,11"
Saudi Arabia,"13,24"
Senegal,"55,51"
Serbia,"12,89"
Seychelles,"15,53"
Sierra Leone,"143,64"
Singapore,"2,29"
Sint Maarten,"8,1"
Slovakia,"7,41"
Slovenia,"4,45"
Solomon Islands,"21,29"
Somalia,"116,7"
South Africa,"61,81"
Spain,"4,42"
Sri Lanka,"14,35"
Saint Kitts and Nevis,"14,49"
Saint Lucia,"13,53"
Saint Pierre and Miquelon,"7,54"
Saint Vincent and the Grenadines,"14,78"
Sudan,"62,5"
South Sudan,"58,1"
Suriname,"23,57"
Swaziland,"69,27"
Sweden,"2,77"
Switzerland,"4,39"
Syria,"29,53"
Tajikistan,"110,76"
Tanzania,"98,54"
Thailand,"20,48"
Timor-Leste,"35,1"
Togo,"66,61"
Tonga,"12,62"
Trinidad and Tobago,"24,31"
Tunisia,"24,77"
Turkey,"41,04"
Turkmenistan,"73,08"
Turks and Caicos Islands,"15,67"
Tuvalu,"20,03"
Uganda,"67,83"
Ukraine,"20,34"
United Arab Emirates,"14,51"
United Kingdom,"5,16"
United States,"6,5"
Uruguay,"11,95"
Uzbekistan,"71,1"
Vanuatu,"55,16"
Venezuela,"22,2"
Vietnam,"25,95"
Virgin Islands,"8,03"
West Bank,"19,62"
Yemen,"61,5"
Zambia,"88,29"
Zimbabwe,"67,69"
