Codigo Pais,Pais,Continente
DZA,Argelia,África
AGO,Angola,África
BEN,Benín,África
BWA,Botsuana,África
BFA,Burkina Faso,África
BDI,Burundi,África
CPV,Cabo Verde,África
CMR,Camerún,África
CAF,República Centroafricana,África
TCD,Chad,África
COM,Comoras,África
COD,República del Congo,África
COG,Congo,África
CIV,Costa de Marfil,África
DJI,Yibuti,África
EGY,Egipto,África
GNQ,Guinea Ecuatorial,África
ETH,Etiopía,África
GAB,Gabón,África
GMB,Gambia,África
GHA,Ghana,África
GIN,Guinea,África
GNB,Guinea-Bisáu,África
KEN,Kenia,África
LSO,Lesoto,África
LBR,Liberia,África
LBY,Libia,África
MDG,Madagascar,África
MWI,Malaui,África
MLI,Malí,África
MRT,Mauritania,África
MUS,Mauricio,África
MAR,Marruecos,África
MOZ,Mozambique,África
NAM,Namibia,África
NER,Níger,África
NGA,Nigeria,África
RWA,Ruanda,África
STP,Santo Tomé y Principe,África
SEN,Senegal,África
SYC,Seychelles,África
SLE,Sierra Leona,África
SOM,Somalia,África
ZAF,Sudáfrica,África
SDN,Sudán,África
SSD,Sudán del Sur,África
SWZ,Suazilandia,África
TZA,Tanzania,África
TGO,Togo,África
TUN,Túnez,África
UGA,Uganda,África
ZMB,Zambia,África
ZWE,Zimbabue,África
ATG,Antigua y Barbuda,América
BHS,Bahamas,América
BRB,Barbados,América
BLZ,Belice,América
BMU,Bermudas,América
VGB,Islas Virgenes Británicas,América
CAN,Canadá,América
CYM,Islas Caimán,América
CRI,Costa Rica,América
CUB,Cuba,América
CUW,Curazao,América
DMA,Dominica,América
DOM,República Dominicana,América
SLV,El Salvador,América
GRL,Groenlandia,América
GRD,Granada,América
GUM,Guam,Oceanía
GTM,Guatemala,América
HTI,Haití,América
HND,Honduras,América
JAM,Jamaica,América
MEX,México,América
MNE,Montenegro,Europa
NIC,Nicaragua,América
PAN,Panamá,América
PRI,Puerto Rico,América
SXM,Sint Maarten,América
KNA,San Cristóbal y Nieves,América
LCA,Santa Lucía,América
MAF,San Martín (Parte Francesa),América
VCT,San Vicente y Las Granadinas,América
TTO,Trinidad y Tobago,América
TCA,Islas Turcas y Caicos,América
USA,Estados Unidos,América
VIR,Islas Virgenes de Los Estados Unidos,América
ARG,Argentina,América
ABW,Aruba,América
BOL,Bolivia,América
BRA,Brasil,América
CHL,Chile,América
COL,Colombia,América
ECU,Ecuador,América
GUY,Guyana,América
PRY,Paraguay,América
PER,Perú,América
SUR,Surinam,América
URY,Uruguay,América
VEN,Venezuela,América
AFG,Afganistán,Asia
BHR,Baréin,Asia
BGD,Bangladés,Asia
BTN,Bután,Asia
BRN,Brunéi Darussalam,Asia
KHM,Camboya,Asia
CHN,China,Asia
HKG,Hong Kong,Asia
IND,India,Asia
IDN,Indonesia,Asia
IRN,Irán,Asia
IRQ,Irak,Asia
ISR,Israel,Asia
JPN,Japón,Asia
JOR,Jordania,Asia
KAZ,Kazajistán,Asia
PRK,República Democrática Popular de Corea,Asia
KOR,República de Corea,Asia
KWT,Kuwait,Asia
KGZ,Kirguistán,Asia
LAO,República Democrática Popular Lao,Asia
LBN,Líbano,Asia
MAC,Macao,Asia
MYS,Malasia,Asia
MDV,Maldivas,Asia
MNG,Mongolia,Asia
MMR,Myanmar,Asia
NPL,Nepal,Asia
OMN,Omán,Asia
PAK,Pakistán,Asia
PHL,Filipinas,Asia
QAT,Qatar,Asia
RUS,Federacion Rusa,Asia
SAU,Arabia Saudita,Asia
SGP,Singapur,Asia
LKA,Sri Lanka,Asia
SYR,Siria,Asia
TJK,Tayikistán,Asia
THA,Tailandia,Asia
TLS,Timor-Leste,Asia
TUR,Turquía,Asia
TKM,Turkmenistán,Asia
ARE,Emiratos Árabes Unidos,Asia
UZB,Uzbekistán,Asia
VNM,Viet Nam,Asia
PSE,"Palestina, Estado de",Asia
YEM,Yemen,Asia
ALB,Albania,Europa
AND,Andorra,Europa
ARM,Armenia,Europa
AUT,Austria,Europa
AZE,Azerbaiyán,Europa
BLR,Bielorrusia,Europa
BEL,Bélgica,Europa
BIH,Bosnia y Herzegovina,Europa
BGR,Bulgaria,Europa
GGY,Guernsey,Europa
HRV,Croacia,Europa
CYP,Chipre,Europa
CZE,República Checa,Europa
DNK,Dinamarca,Europa
EST,Estonia,Europa
FRO,Islas Feroe,Europa
FIN,Finlandia,Europa
FRA,Francia,Europa
GEO,Georgia,Europa
DEU,Alemania,Europa
GIB,Gibraltar,Europa
GRC,Grecia,Europa
HUN,Hungría,Europa
ISL,Islandia,Europa
IRL,Irlanda,Europa
IMN,Isla de Man,Europa
ITA,Italia,Europa
XKX,Kosovo,Europa
LVA,Letonia,Europa
LIE,Liechtenstein,Europa
LTU,Lituania,Europa
